# Anthropic R&D Automation Index v2026.07 — the automation-level composition.
# Source: https://www.anthropic.com/institute/measuring-pace-of-ai-development
# Figure: "Claude now leads 26% of model R&D work"; monthly share of model R&D
# tasks at Anthropic, rated on Epoch AI's AL0-AL5 automation scale. The figure
# is a stacked area, ordered AL5 (bottom) .. AL0 (top).
#
# NOT a published feed. Read from the chart asset the page serves
# (cdn.sanity.io/.../31704b297a9350f392f143ea078561f36cd14908-1920x1230.png)
# on 2026-09-17.
#
# Columns are CUMULATIVE shares — al3_plus is "rated AL3 or above", i.e. the
# band boundary, not the AL3 band's own height. Cumulative because that is the
# monotone, 0-100-bounded quantity a logit fit wants; a single band's height
# rises and falls as work moves up past it.
#
#   al4_pct  The figure PRINTS this value next to each labelled marker
#            (1%, 3%, 12%, 14%, 22%, 26%) — transcribed, not digitized. It is
#            the authoritative AL4+ value and the one the app fits.
#   al4_dig  The same boundary read by pixel analysis. AL4 is the ONE band
#            whose truth the figure prints, so al4_dig vs al4_pct is the
#            calibration guard on the method that produced al1/al2/al3_plus,
#            which have no printed values at all. Agreement is within ~0.6pt
#            (`test_digitised_al4_reproduces_the_printed_labels`).
#   lo90/hi90  The "90% measurement intervals" whisker ends, digitized. y is
#            calibrated off the 0%/20%/.../100% tick labels (1008.5px = 0%,
#            6.90px per point). Each bracket contains its own printed label.
#   printed  0 = the figure labels no AL4 value and the band is below the
#            ~0.3pt pixel floor. Charted at zero, never fitted: a logit fit
#            cannot take 0, and the post says only "under 1% in February
#            2026". Aug-Dec 2025 show no AL4 band at all; Jan and Feb 2026
#            show a whisker at the axis but no readable band.
#
# AL5 has NO COLUMN because it has no data: the band is absent in every month
# and the post states Claude "is not operating fully autonomously for any
# measured subset of AI R&D work". That absence is used as a censoring bound
# on the AL4->AL5 lag, not as a zero to fit.
#
# al1_plus saturates at 100 from Dec 2025 and al2_plus from May 2026; a share
# that close to the ceiling carries no rate information, so the app drops
# points outside (0.3, 99.0) before fitting. That leaves al1_plus with too few
# usable points to fit at all — it is carried for the composition check
# (al1 >= al2 >= al3 >= al4 at every month), not for the lag ladder.
#
# Caveats the post states about itself, carried into the section's hovers:
# the basket of tasks is frozen on a July 2026 person-time weighting (the post
# found no rise in novel tasks between its January and July baskets), and the
# automation levels are assigned by a Claude judge that agreed with staff
# owners exactly 59% of the time and within one level 97% of the time, against
# 35% exact agreement between humans.
month,al1_plus,al2_plus,al3_plus,al4_pct,al4_dig,lo90,hi90,printed
2025-08,95.43,55.65,3.91,0,,,,0
2025-09,96.3,59.71,4.71,0,,,,0
2025-10,97.75,67.54,7.25,0,,,,0
2025-11,99.78,81.45,15.29,0,,,,0
2025-12,100,88.55,23.62,0,,,,0
2026-01,100,91.01,28.04,0,,,,0
2026-02,100,94.35,36.16,0,,,,0
2026-03,100,98.26,56.52,1,1.59,0.4,3,1
2026-04,100,99.57,65.87,3,2.68,0.9,5.1,1
2026-05,100,100,87.9,12,12.1,8.3,16.5,1
2026-06,100,100,90.07,14,14.42,10.8,17.9,1
2026-07,100,100,94.2,22,21.52,16.7,26.9,1
2026-08,100,100,95.8,26,26.38,21.2,32.5,1
