# AISI narrow cyber tasks -- average success rate on 70 tasks, 5 attempts/task, 2.5M token limit/attempt.
# SOURCE: https://www.aisi.gov.uk/blog/how-far-behind-the-frontier-are-leading-open-weight-models-on-cyber (Figure 1)
# PROVENANCE: AISI publishes NO numeric data for this figure. Every value below was digitized from the
#   published PNG (fig1-narrow.png) by pixel analysis, not read from a table. Treat as approximate.
# CALIBRATION: y-axis 0%=row1760, 100%=row547. x-axis ticks Aug2024=601.5px, Feb2025=1010.0px,
#   Aug2025=1411.0px, Feb2026=1819.5px; linear fit 0.45080 days/px, residuals <=0.11px.
# VALIDATION: derived dates match known releases (GPT-5 2025-08-07 exact; Opus 3 off by 1d; o3 off by 1d).
#   Derived lags reproduce AISI's printed annotations: GLM-5.2 vs Opus 4.6 = 4.30mo (chart "4.3 mo");
#   DeepSeek-V4-Pro vs Opus 4.5 = 5.06mo (chart "5.0 mo").
# LAST VERIFIED 2026-08-21 (figure-unchanged check, not a re-digitization): re-fetched fig1-narrow.png
#   from the post's current CDN URL (.../6a5a119ab40ff07b1ffba031_fig1-narrow.png). Webflow content-hashes
#   the filename, so an unchanged URL is itself evidence the asset was not re-uploaded; its CDN headers
#   still report last-modified 2026-07-17 11:27:23 GMT, content-length 609388, etag 08de3a27...0632.
#   Pixel-verified anyway: still 2840x2160, the x-tick fit still returns 0.45080 days/px with residuals
#   <=0.114px, and all 12 rows below still land on their marker colour off the recorded 547/1760 y-axis
#   calibration. Note the OpenAI markers are a *greyscale* ramp (o1 168, o3 145, GPT-5 99, GPT-5.2-Codex
#   74, GPT-5.6-Sol overplotted black) and Opus 3's salmon is nearly unsaturated at (233,214,208), so a
#   naive "saturated pixel" probe reports those six as empty -- check against the near-white background
#   instead, not against saturation. A saturated-colour census of the plot interior returns the same
#   palette as before -- Anthropic salmons plus exactly two open-weight hues, blue (73,104,254) =
#   DeepSeek-V4-Pro and green (43,172,100) = GLM-5.2 -- so no open-weight marker was added.
#   No AISI/CAISI post since 2026-08-04 (the agent-incident report, which is qualitative and prints only
#   incident counts, no benchmark scores); the blog listing and the /category/cyber page are newest-first
#   and both still top out there. Kimi K3 still has NO narrow-task score -- the 2026-07-23 assessment ran
#   only ExploitBench + the TLO range, and its prose still says AISI "intends to test Kimi K3 on this same
#   basis, once its weights are publicly released". The NIST mirror of that post now carries "Updated
#   August 12, 2026", but every printed number is unchanged, so this suite has gained no models since
#   2026-07-17. See aisi_cyber_tlo.csv for Kimi K3's cyber-range score.
#   Not to be confused with "How fast is autonomous AI cyber capability advancing?" (2026-05-13), which
#   predates this post and reports cyber *time horizons* -- a different metric, not success rates.
# CAVEAT: date_source=chart means the date is inferred from marker x-position, NOT a published release date.
# CAVEAT: this figure contains NO US open-weight and NO Chinese closed models, so country and
#   weights are perfectly confounded -- see notes in render_ukcyber().
model,date,date_source,success_rate,organization,country,weights
Opus 3,2024-03-03,chart,18.3,Anthropic,US,closed
o1,2024-12-16,chart,28.8,OpenAI,US,closed
o3,2025-04-15,chart,39.4,OpenAI,US,closed
GPT-5,2025-08-07,chart,52.5,OpenAI,US,closed
Opus 4.5,2025-11-21,chart,62.6,Anthropic,US,closed
GPT-5.2-Codex,2025-12-18,chart,64.8,OpenAI,US,closed
Claude Opus 4.6,2026-02-05,chart,74.8,Anthropic,US,closed
Mythos Preview,2026-04-07,chart,88.8,Anthropic,US,closed
DeepSeek-V4-Pro,2026-04-24,chart,55.7,DeepSeek,China,open
Claude Mythos 5,2026-06-09,chart,90.3,Anthropic,US,closed
GLM-5.2,2026-06-16,chart,72.5,Zhipu AI,China,open
GPT-5.6-Sol,2026-06-26,chart,92.8,OpenAI,US,closed
